name,serving_wt,kcal,carbo,protein,fat,year,company
오곡밥,250.0,390.0,82.25,12,1.25,2013, 
새우튀김롤,300.0,606.5,96.28,14.47,18.17,2012, 
새우튀김롤(강원도),300.0,612.0,88.61,13.33,22.76,2012, 
새우튀김롤(경기도),300.0,627.0,98.66,14.03,19.72,2012, 
새우튀김롤(경상도),300.0,549.0,95.72,14.46,12.07,2012, 
새우튀김롤(서울),300.0,645.0,103.08,15.29,19.04,2012, 
새우튀김롤(전라도),300.0,570.0,90.25,15.08,16.5,2012, 
새우튀김롤(충청도),300.0,633.0,101.37,14.62,18.92,2012, 
연어롤,300.0,510.19,74.32,18.57,15.4,2012, 
연어롤(강원도),300.0,534.0,73.26,19.47,18.17,2012, 
연어롤(경기도),300.0,495.0,70.83,18.41,15.25,2012, 
연어롤(경상도),300.0,462.0,80.5,18.18,7.45,2012, 
연어롤(서울),300.0,543.0,65.78,21.45,21.59,2012, 
연어롤(전라도),300.0,492.0,82.8,16.96,10.49,2012, 
연어롤(충청도),300.0,534.0,72.74,16.96,19.47,2012, 
캘리포니아롤,300.0,487.64,89.23,12.33,9.05,2012, 
캘리포니아롤(강원도),300.0,459.0,87.44,11.82,6.74,2012, 
캘리포니아롤(경기도),300.0,468.0,86.18,11.59,8.52,2012, 
캘리포니아롤(경상도),300.0,483.0,94.66,13.06,5.9,2012, 
캘리포니아롤(서울),300.0,489.0,84.55,12.4,11.16,2012, 
캘리포니아롤(전라도),300.0,531.0,93.24,12.5,12.02,2012, 
캘리포니아롤(충청도),300.0,498.0,89.29,12.62,9.93,2012, 
곤드레나물밥(정선),350.0,521.83,98.86,10.27,9.48,2016, 
국밥(안성),800.0,418.35,58.58,27.55,8.2,2016, 
돼지국밥(밀양),1200.0,911.4,74.66,66.36,38.59,2016, 
멍게비빔밥(거제),400.0,547.21,90.67,16.57,13.14,2016, 
묵밥(영주),950.0,642.16,128.55,14.76,7.66,2016, 
비빔밥(전주),450.0,691.62,98.73,24.59,22.03,2016, 
소머리국밥(경기광주),1100.0,903.95,74.87,83.2,30.19,2016, 
약초비빔밥(산청),400.0,511.8,80.16,11.9,15.95,2016, 
콩나물국밥(전주),900.0,429.65,71.08,18.5,7.93,2016, 
소고기국밥(밥포함),700.0,330.53,42.61,21.82,8.09,2016, 
꽈배기,65.0,262.38,30.7,5.13,13.23,2009, 
꽈배기(강원도),65.0,258.7,29.85,5.09,13.19,2009, 
꽈배기(경기도),65.0,258.7,30.72,4.63,13,2009, 
꽈배기(경상도),65.0,245.05,33.93,4.75,10.04,2009, 
꽈배기(서울),65.0,262.6,30.34,5.87,13.08,2009, 
꽈배기(전라도),65.0,265.2,31.31,5.21,13.27,2009, 
꽈배기(충청도),65.0,284.05,28.02,5.24,16.81,2009, 
찹쌀도우넛,70.0,207.05,39.95,3.53,3.68,2009, 
찹쌀도우넛(강원도),70.0,209.3,39.74,3.97,3.84,2009, 
찹쌀도우넛(경기도),70.0,202.3,39.78,3.3,3.36,2009, 
찹쌀도우넛(경상도),70.0,201.6,41.21,3.1,2.67,2009, 
찹쌀도우넛(서울),70.0,205.1,38.68,4.27,3.7,2009, 
찹쌀도우넛(전라도),70.0,216.3,40.52,3.21,4.6,2009, 
찹쌀도우넛(충청도),70.0,207.9,39.8,3.31,3.91,2009, 
만주,70.0,222.49,46.8,5.13,1.64,2012, 
만주(강원도),70.0,220.5,46.98,5.39,1.25,2012, 
만주(경기도),70.0,221.2,47.87,4.92,1.16,2012, 
만주(경상도),70.0,217.0,44.95,5.12,1.84,2012, 
만주(서울),70.0,223.3,48.33,5.11,1.06,2012, 
만주(전라도),70.0,229.6,45.66,5.11,2.97,2012, 
만주(충청도),70.0,222.6,47.03,5.14,1.57,2012, 
머핀,130.0,560.71,69.29,7.37,28.23,2012, 
머핀(강원도),130.0,556.4,68.88,7.37,28,2012, 
머핀(경기도),130.0,570.7,70.57,7.37,28.84,2012, 
머핀(경상도),130.0,547.3,69.49,7.37,26.61,2012, 
머핀(서울),130.0,568.1,65.87,7.1,30.65,2012, 
머핀(전라도),130.0,573.3,70.2,7.48,29.23,2012, 
머핀(충청도),130.0,547.3,70.73,7.51,26.06,2012, 
