name,serving_wt,kcal,carbo,protein,fat,company
깨송편,100,224,44.01,5.9,2.74, 
팥송편,100,200,43.6,5.4,0.4, 
팥송편,100,200,43.6,5.4,0.4, 
시루떡,100,183,38.94,5.83,0.41, 
시루떡,100,217,47.5,5.5,0.6, 
찹쌀시루떡,100,238,51.8,6.8,0.4, 
찹쌀시루떡,100,181,37.63,6.63,0.41, 
절편,100,220,43.8,4.4,0.8, 
절편,100,215,49.04,3.69,0.49, 
증편,100,177,37.8,3.9,0.9, 
증편,100,198,45.23,2.99,0.57, 
쑥설기,100,242,55.6,4.3,0.3, 
약식,100,259,54.2,3.5,2.8, 
약식,100,244,52.3,3.7,2.2, 
"찹쌀인절미,콩고물",100,231,49.69,5.52,1.15, 
"찹쌀인절미,콩고물",100,221,45.4,5.7,1.9, 
"찹쌀인절미,팥고물",100,202,44.8,4.2,0.9, 
"찹쌀인절미,팥고물",100,204,44.8,4.2,0.9, 
"찹쌀가공(떡류),찹쌀떡",100,236,50.4,4.8,1.4, 
"찹쌀가공(떡류),찹쌀떡",100,246,52.65,4.81,1.75, 
무지개떡,100,229,53,3.5,0.3, 
무지개떡,100,229,53,3.5,0.3, 
현미가루,40,151.6,32.16,2.96,1.04, 
백미가루,100,362,78.5,6.2,0.9, 
백미가루,100,362,78.5,6.2,0.9, 
쌀엿강정,100,383,90.1,3.8,0.8, 
쌀엿강정,100,395,89.96,4.11,2.13, 
엿강정,30,135.3,11.73,11.31,4.8, 
들깨엿강정,30,161.4,14.67,3.96,9.66, 
참깨엿강정,100,538,45.4,15,32.9, 
참깨엿강정,100,538,45.4,15,32.9, 
땅콩엿강정,30,173.4,10.17,6.42,11.88, 
튀밥,100,393,80.7,8.7,3.9, 
튀밥,100,406,80.7,8.7,3.9, 
찹쌀다식(검정깨),100,475,48.3,13.8,25.2, 
찹쌀다식(검정깨),100,475,48.3,13.8,25.2, 
"찹쌀가공(과자류),다식,송화",100,326,76.1,4.4,2.3, 
"찹쌀가공(과자류),다식,송화",100,343,76.1,4.4,2.3, 
찹쌀산자,100,417,75.6,2,11.8, 
찹쌀산자,100,417,75.6,2,11.8, 
찹쌀유과,100,382,84.4,2.2,4, 
찹쌀유과,100,411,77.49,1.96,10.37, 
찹쌀가루,100,397,86.8,8.3,TRACE, 
찹쌀가루,100,357,82.08,6.44,0.57, 
"옥수수,생것",100,142,29.4,4.9,1.2, 
"옥수수,생것",100,110,29.4,4.9,1.2, 
"옥수수,마른것",100,371,74.7,11.5,4.6, 
"옥수수,마른것",100,289,74.7,11.5,4.6, 
"옥수수,찐것",100,132,25.4,6.6,1.4, 
"옥수수,찐것",100,108,25.4,6.6,1.4, 
옥수수가루,100,373,75.7,7.7,3.7, 
옥수수가루,100,265,83.3,7.32,0.97, 
"옥수수가공(통조림),가당",100,91,18.3,2.3,1, 
"옥수수가공(통조림),가당",100,91,18.3,2.3,1, 
옥수수통조림,100,82,17.8,2.3,0.5, 
옥수수통조림,100,82,17.8,2.3,0.5, 
콘샐러드,100,104,22.4,3.2,0.2, 
콘샐러드,100,104,22.4,3.2,0.2, 
"율무,생것",100,377,70.5,15.4,3.2, 
"율무,생것",100,363,70.5,15.4,3.2, 
"율무국수,건면",100,362,74.6,13.2,1.2, 
"율무국수,건면",100,353,74.6,13.2,1.2, 
"조,생것",100,386,76,9.7,4.2, 
"조,생것",100,357,72.81,10.7,3.7, 
"피,생것",100,376,73.9,8.5,4.6, 
"피,생것",100,360,73.9,8.5,4.6, 
"통호밀,생것",100,334,70.7,15.9,1.5, 
"통호밀,생것",100,290,70.7,15.9,1.5, 
"밀,생것",100,333,75.8,10.6,1, 
"밀,생것",100,321,75.8,10.6,1, 
호밀가루,100,348,75.8,8.5,1.6, 
호밀가루,100,351,75.8,8.5,1.6, 
녹수국수,100,345,84.6,0.2,0.4, 
녹수국수,100,356,87.5,0.2,0.4, 
"도토리국수,마른서",100,345,72.2,12.4,0.7, 
"도토리국수,마른서",100,307,72.2,12.4,0.7, 
새우볶음밥,100,207,0,7.8,11.4, 
새우볶음밥,100,175,28.2,4.5,4.9, 
햄볶음밥,210,518.7,0,7.14,39.69, 
"고기만두,냉동",100,214,0.3,9.6,10.4, 
"고기만두,냉동",100,208,27.79,9.38,6.58, 
"김치만두,냉동",100,190,21.7,6.6,8.5, 
"김치만두,냉동",100,187,23.82,8.13,6.59, 
소고기가루스프,100,406,67.1,11.3,10.3, 
소고기가루스프,100,406,67.1,11.3,10.3, 
소고기스프,100,6,0,1.1,0.2, 
소고기스프,100,7,0.04,1.14,0.22, 
채소소고기스프,100,21,3.2,1.2,0.4, 
채소소고기스프,100,48,6.16,3.18,1.16, 
쇠고기야채스프(오뚜기),100,355,61,7,9, 
양송이가루스프,100,418,70.7,8.3,11.3, 
양송이가루스프,100,418,70.7,8.3,11.3, 
양송이스프,100,36,4.4,0.7,1.8, 
양송이스프,100,39,3.33,0.66,2.59, 
양송이수프(오뚜기),100,360,59,6,11, 
양파스프,100,12,2.8,0.3,0, 
양파스프,100,12,2.77,0.32,0.01, 
양파가루스프,100,293,65.1,7.5,0.3, 
양파가루스프,100,293,65.07,7.48,0.34, 
크림가루스프,100,443,68.1,6.8,15.9, 
크림가루스프,100,443,68.1,6.8,15.9, 
크림스프,100,24,3.6,0.9,0.7, 
크림스프,100,30,4.7,0.72,0.97, 
크림스프(오뚜기),100,355,64,5,9, 
옥수수스프(오뚜기),100,360,63,5,10, 
감자스프(오뚜기),100,380,73,6,7, 
야채스프(오뚜기),100,350,61,6,9, 
호박스프(오뚜기),100,395,74,5,9, 
"콩소메,분말",100,137,16.3,17.2,0.1, 
콘소메스프,100,8,0.8,0.9,0.1, 
