id,name,serving_wt,kcal,carbo,protein,fat,company
21304,"오징어포,오징어숯불구이",30.0,17.01,0.79,3.37,0.05,한성기업
21305,"오징어포,참맛오징어버터줄구이",30.0,79.5,2.82,15.84,0.54,한성기업
21306,"오징어포,참맛오징어버터줄구이",30.0,23.85,0.85,4.75,0.16,한성기업
21307,"오징어냉동품,금실오징어",30.0,80.7,6.93,11.64,0.72,한성기업
21308,"오징어냉동품,금실오징어",30.0,24.21,2.08,3.49,0.22,한성기업
21309,"오징어냉동품,오징어링튀김",30.0,45.0,7.17,3.27,0.36,한성기업
21310,"오징어냉동품,오징어링튀김",30.0,13.5,2.15,0.98,0.11,한성기업
21311,"오징어냉동품,오징어바",30.0,60.3,4.71,3.27,3.15,한성기업
21312,"오징어냉동품,오징어바",30.0,18.09,1.41,0.98,0.95,한성기업
21313,"오징어냉동품,오징어버거튀김",30.0,51.3,9.09,2.67,0.48,한성기업
21314,"오징어냉동품,오징어버거튀김",30.0,15.39,2.73,0.8,0.14,한성기업
21315,"오징어냉동품,오징어볼튀김",30.0,49.2,9.03,2.52,0.33,한성기업
21316,"오징어냉동품,오징어볼튀김",30.0,14.76,2.71,0.76,0.1,한성기업
21317,"오징어냉동품,오징어링",30.0,63.9,0,2.58,3.51,한성기업
21318,"오징어냉동품,오징어링",30.0,19.17,0,0.77,1.05,한성기업
21319,"오징어냉동품,오징어바튀김",30.0,64.8,7.17,3.27,2.88,한성기업
21320,"오징어냉동품,오징어바튀김",30.0,19.44,2.15,0.98,0.86,한성기업
21321,오징어너겟,30.0,49.2,9.9,2.55,3.57,한성기업
21322,오징어너겟,30.0,14.76,2.97,0.77,1.07,한성기업
21323,"오징어너겟,오징어와야채맛",30.0,81.9,9.9,2.55,3.57,한성기업
21324,"오징어너겟,오징어와야채맛",30.0,24.57,2.97,0.77,1.07,한성기업
21325,"젓,생것,조개젓갈",100.0,102.0,15.6,9.6,0.2,한성기업
21326,"젓,생것,조개젓갈",100.0,102.0,15.6,9.6,0.2,한성기업
21327,"골뱅이통조림,골뱅이",30.0,34.8,2.01,6.3,0.18,한성기업
21328,"골뱅이통조림,골뱅이",30.0,10.44,0.6,1.89,0.05,한성기업
21329,"꼴뚜기젓,꼴뚜기젓갈",100.0,118.0,9,11.9,0.4,한성기업
21330,"꼴뚜기젓,꼴뚜기젓갈",100.0,118.0,9,11.9,0.4,한성기업
21331,"새우젓,새우젓갈",30.0,11.4,0.57,2.1,0.09,한성기업
21332,"새우젓,새우젓갈",30.0,3.42,0.17,0.63,0.03,한성기업
21333,"새우완자,새우동그랑땡",30.0,45.9,4.05,2.46,2.19,한성기업
21334,"새우완자,새우동그랑땡",30.0,13.77,1.22,0.74,0.66,한성기업
21335,"새우완자,새우버거",30.0,75.9,9.45,2.19,3.24,한성기업
21336,"새우완자,새우버거",30.0,22.77,2.84,0.66,0.97,한성기업
21337,"새우완자,새우와야채맛",30.0,77.7,6.12,2.64,4.74,한성기업
21338,"새우완자,새우와야채맛",30.0,23.31,1.84,0.79,1.42,한성기업
21339,"새우완자,새우패티",30.0,41.1,7.95,1.41,0.42,한성기업
21340,"새우완자,새우패티",30.0,12.33,2.39,0.42,0.13,한성기업
21341,"새우완자,새우땡",30.0,54.6,4.05,4.14,2.52,한성기업
21342,"새우완자,새우땡",30.0,16.38,1.22,1.24,0.76,한성기업
21343,"오징어젓,오징어젓갈",100.0,102.0,11.7,13.2,0.3,한성기업
21344,"오징어젓,오징어젓갈",100.0,102.0,11.7,13.2,0.3,한성기업
21345,"새우튀김냉동품,분홍생새우튀김",30.0,56.1,9.99,3,0.45,한성기업
21346,"새우튀김냉동품,분홍생새우튀김",30.0,16.83,3,0.9,0.14,한성기업
21347,"창란젓,창란젓갈",100.0,109.0,15.2,10.9,0.5,한성기업
21348,"창란젓,창란젓갈",100.0,109.0,15.2,10.9,0.5,한성기업
21349,게맛살,30.0,36.6,5.61,3,0.24,한성기업
21350,게맛살,30.0,10.98,1.68,0.9,0.07,한성기업
21351,"게맛살,모양집게맛살",30.0,42.6,6.96,1.89,0.81,한성기업
21352,"게맛살,모양집게맛살",30.0,12.78,2.09,0.57,0.24,한성기업
21353,"게맛살,새우맛살",30.0,30.6,3.84,3.18,0.27,한성기업
21354,"게맛살,새우맛살",30.0,9.18,1.15,0.95,0.08,한성기업
21355,"게맛살,집게맛살",30.0,42.9,7.11,1.86,0.81,한성기업
21356,"게맛살,집게맛살",30.0,12.87,2.13,0.56,0.24,한성기업
21357,"게맛살,통통맛살",30.0,36.9,5.82,2.94,0.21,한성기업
21358,"게맛살,통통맛살",30.0,11.07,1.75,0.88,0.06,한성기업
21359,"는쟁이냉이,생것",100.0,361.0,42.3,38.5,4.3,한성기업
21360,"는쟁이냉이,생것",100.0,361.0,42.3,38.5,4.3,한성기업
21361,"능성어,생것",4.0,17.24,1.22,0.96,0.95,한성기업
21362,"능성어,생것",4.0,0.69,0.05,0.04,0.04,한성기업
21363,"능이버섯(향버섯),생것",4.0,17.28,1.22,0.95,0.96,한성기업
21364,"능이버섯(향버섯),생것",4.0,0.69,0.05,0.04,0.04,한성기업
21365,"다금바리,생것",4.0,17.32,1.22,0.96,0.96,한성기업
21366,"다금바리,생것",4.0,0.69,0.05,0.04,0.04,한성기업
21367,"복합조미식품,뿌비또(김,계란맛)",100.0,429.0,46.6,16.8,19.5,한성기업
21368,"복합조미식품,뿌비또(김,계란맛)",100.0,429.0,46.6,16.8,19.5,한성기업
21369,"복합조미식품,뿌비또(녹황야채)",100.0,398.0,53.8,13.2,14.4,한성기업
21370,"복합조미식품,뿌비또(녹황야채)",100.0,398.0,53.8,13.2,14.4,한성기업
21371,"복합조미식품,뿌비또(불고기맛)",100.0,380.0,59,14.2,9.7,한성기업
21372,"복합조미식품,뿌비또(불고기맛)",100.0,380.0,59,14.2,9.7,한성기업
21373,"복합조미식품,뿌비또(새우맛)",100.0,374.0,47.5,19.5,11.8,한성기업
21374,"복합조미식품,뿌비또(새우맛)",100.0,374.0,47.5,19.5,11.8,한성기업
21375,"복합조미식품,뿌비또(피자맛)",100.0,382.0,64.8,11.2,8.7,한성기업
21376,"복합조미식품,뿌비또(피자맛)",100.0,382.0,64.8,11.2,8.7,한성기업
21377,"복합조미식품,뿌비또(햄맛)",100.0,387.0,54.1,12.9,13.2,한성기업
21378,"복합조미식품,뿌비또(햄맛)",100.0,387.0,54.1,12.9,13.2,한성기업
21379,속찬왕만두,150.0,322.5,34.5,12,15,한성기업
21380,속찬왕만두,150.0,345.54,36.96,12.86,16.07,한성기업
21381,말리반브랜크래커,30.0,122.4,21.78,3.18,2.52,한스무역
21382,말리반브랜크래커,30.0,36.72,6.53,0.95,0.76,한스무역
21383,말리반레몬크레커,30.0,146.7,22.8,1.89,5.25,한스무역
21384,말리반레몬크레커,30.0,44.01,6.84,0.57,1.58,한스무역
21385,말리반바닐라크림웨이퍼,30.0,84.0,9,0.6,3,한스무역
21386,말리반바닐라크림웨이퍼,30.0,50.4,5.4,0.36,1.8,한스무역
21387,말리반커스타드크리머,30.0,84.0,11.85,1.02,3.6,한스무역
21388,말리반커스타드크리머,30.0,45.82,6.46,0.56,1.96,한스무역
21389,말리반치즈비스킷,30.0,60.9,9.75,1.65,1.68,한스무역
21390,말리반치즈비스킷,30.0,36.54,5.85,0.99,1.01,한스무역
21391,말리반하와이안코코넛쿠키,30.0,71.7,10.65,1.05,2.7,한스무역
21392,말리반하와이안코코넛쿠키,30.0,43.02,6.39,0.63,1.62,한스무역
21393,말리반생강넛,30.0,33.0,5.7,0.3,1.05,한스무역
21394,말리반생강넛,30.0,33.0,5.7,0.3,1.05,한스무역
21395,티라미슈트위스트쿠키,30.0,39.0,4.5,0.3,2.1,한신에프앤비
21396,티라미슈트위스트쿠키,30.0,48.75,5.63,0.38,2.63,한신에프앤비
21397,크림스파게티소스,170.0,399.5,37.4,6.8,25.5,한일식품
21398,크림스파게티소스,170.0,399.5,37.4,6.8,25.5,한일식품
21399,와수카치즈비스킷,30.0,22.5,3.3,0.3,0.75,한조인터내셔널
21400,와수카치즈비스킷,30.0,45.0,6.6,0.6,1.5,한조인터내셔널
21401,와수카초코렛비스킷,30.0,24.0,3.3,0.3,0.9,한조인터내셔널
21402,와수카초코렛비스킷,30.0,48.0,6.6,0.6,1.8,한조인터내셔널
21403,쇼유에칩스(양파맛),30.0,27.0,3.6,0.3,1.2,한조인터내셔널
21404,쇼유에칩스(양파맛),30.0,45.0,6,0.5,2,한조인터내셔널
21405,쇼유에-미(스파이스맛),30.0,25.5,3.9,0.3,1.2,한조인터내셔널
21406,쇼유에-미(스파이스맛),30.0,42.5,6.5,0.5,2,한조인터내셔널
21407,"에디아르다섯가지맛(버터,바닐라,살구,라즈베리,패션후르츠)캬라멜",10.0,7.02,1,0.04,0.21,한진휴에프
21408,"에디아르다섯가지맛(버터,바닐라,살구,라즈베리,패션후르츠)캬라멜",10.0,3.9,0.55,0.02,0.12,한진휴에프
21409,티카칩스파타고니아,30.0,42.9,5.1,0.32,2.4,한진휴에프
21410,티카칩스파타고니아,30.0,42.9,5.1,0.32,2.4,한진휴에프
21411,티카칩스멀켄,30.0,43.8,5.1,0.36,2.4,한진휴에프
21412,티카칩스멀켄,30.0,43.8,5.1,0.36,2.4,한진휴에프
21413,크리스피롤17,30.0,19.8,1.8,0.3,0.9,해광
21414,크리스피롤17,30.0,59.4,5.4,0.9,2.7,해광
21415,샷초코아몬드에너지바,30.0,63.3,9.24,1.11,1.32,해운대닷컴
21416,샷초코아몬드에너지바,30.0,34.53,5.04,0.61,0.72,해운대닷컴
21417,"과자,땅콩오징어",30.0,140.7,19.29,3.18,5.64,해태제과
21418,"과자,땅콩오징어",30.0,42.21,5.79,0.95,1.69,해태제과
21419,"과자,맛동산",30.0,139.8,20.37,2.88,5.19,해태제과
21420,"과자,맛동산",30.0,41.94,6.11,0.86,1.56,해태제과
21421,"과자,홈런볼(쵸코)",30.0,168.9,14.91,2.19,11.1,해태제과
21422,"과자,홈런볼(쵸코)",30.0,50.67,4.47,0.66,3.33,해태제과
21423,"과자,웨하스(크림맛)",30.0,155.7,19.98,1.32,7.86,해태제과
21424,"과자,웨하스(크림맛)",30.0,46.71,5.99,0.4,2.36,해태제과
21425,"과자,샤브레",30.0,142.8,21.54,1.38,5.7,해태제과
21426,"과자,샤브레",30.0,42.84,6.46,0.41,1.71,해태제과
21427,"과자,뽀뽀틴",30.0,86.1,21.51,0,0,해태제과
21428,"과자,뽀뽀틴",30.0,25.83,6.45,0,0,해태제과
21429,"과자,에이스",30.0,158.1,17.67,2.1,8.7,해태제과
21430,"과자,에이스",30.0,47.43,5.3,0.63,2.61,해태제과
21431,"피자,나포리불고기피자",150.0,382.5,46.65,16.35,14.55,해태제과
21432,"피자,나포리불고기피자",150.0,573.75,69.98,24.53,21.83,해태제과
21433,"만두,참고향만두",150.0,303.0,37.05,11.85,12,해태제과
21434,"만두,참고향만두",150.0,454.5,55.58,17.78,18,해태제과
21435,pocky(포키),30.0,156.61,18.93,2.6,7.83,해태제과
21436,pocky(포키),30.0,46.98,5.68,0.78,2.35,해태제과
21437,"껌,덴티큐",2.0,3.18,1.32,0,0,해태제과
21438,"껌,덴티큐",2.0,0.06,0.03,0,0,해태제과
21439,"껌,아카시아",2.0,5.92,1.48,0,0,해태제과
21440,"껌,아카시아",2.0,0.12,0.03,0,0,해태제과
21441,"사탕,썬키스트(레몬)",10.0,39.5,9.88,0.02,0,해태제과
21442,"사탕,썬키스트(레몬)",10.0,3.95,0.99,0,0,해태제과
21443,"사탕,알사탕",10.0,41.5,8.9,0.28,0.54,해태제과
21444,"사탕,알사탕",10.0,4.15,0.89,0.03,0.05,해태제과
