,name,serving_wt,kcal,carbo,protein,fat,sugars,sodium,chol,saturated_fatty_acid,trans_fatty_acid,year,company
56,"라면,조리",100,101,18.5,2.2,2,N/A,388,N/A,N/A,N/A,2017,
57,진라면매운맛,100,421,65,8.3,14.2,N/A,1933,N/A,N/A,N/A,2006,
58,진라면매운맛,100,369,78.69,8.59,2.22,0,1338,0,1.44,N/A,2017,
59,"마카로니,건면",100,380,77.1,12.2,0.4,N/A,2,0,N/A,N/A,2011,
60,"마카로니,건면",100,388,77.1,12.2,0.4,N/A,2,N/A,N/A,N/A,2017,
61,"마카로니,건면,삶은것",100,126,25.8,3.8,0.2,N/A,5,0,N/A,N/A,2011,
62,"마카로니,건면,삶은것",100,129,25.8,3.8,0.2,N/A,5,N/A,N/A,N/A,2017,
63,"스파게티,건면",100,363,74.6,11.2,0.2,N/A,19,N/A,N/A,N/A,2011,
64,"스파게티,건면",100,365,76.64,11.78,1.28,1.39,2,0,0.34,N/A,2017,
65,"스파게티,건면,삶은것",100,129,26.9,3.8,0,N/A,7,N/A,N/A,N/A,2011,
66,"스파게티,건면,삶은것",100,132,26.9,3.8,0,N/A,7,N/A,N/A,N/A,2017,
67,우동,200,168,34.8,4.8,0.4,N/A,1470,N/A,N/A,N/A,2006,
68,"우동,생면",100,154,32,3.8,0.4,N/A,167,0,N/A,N/A,2011,
69,"우동,생면",100,167,33.09,3.33,1.25,0,142,0,0.33,N/A,2017,
70,"우동,생면,삶은것",100,123,25.9,3.2,0.1,N/A,64,0,N/A,N/A,2011,
71,"우동,생면,삶은것",100,142,29.12,2.95,0.46,0,78,0,0.13,N/A,2017,
72,"냄비우동,냉동",100,206,43.9,6,0.7,N/A,N/A,N/A,N/A,N/A,2011,
73,울면,200,860,118.6,26.4,31,N/A,1604,N/A,N/A,N/A,2001,
74,"중국국수,생면",100,281,55.7,8.6,1.2,N/A,410,0,N/A,N/A,2011,
75,"중국국수,생면",100,281,55.7,8.6,1.2,1,410,0,-0.28,N/A,2017,
76,"중국국수,생면,삶은것",100,149,29.2,4.9,0.6,N/A,70,0,N/A,N/A,2011,
77,"중국국수,생면,삶은것",100,149,29.2,4.9,0.6,0.1,70,0,-0.14,N/A,2017,
78,"중국국수,증숙면",100,198,38.4,5.3,1.7,N/A,170,N/A,N/A,N/A,2011,
79,"중국국수,증숙면",100,198,38.4,5.3,1.7,0.7,170,0,-0.39,N/A,2017,
80,중국국수,100,365,73,10.5,1.6,N/A,500,N/A,N/A,N/A,2011,
81,중국국수,100,356,67.1,10.3,5.2,0.9,2700,2,1.26,N/A,2017,
82,"중국국수,삶은것",100,140,28.1,4.1,0.5,N/A,75,N/A,N/A,N/A,2011,
83,"중국국수,삶은것",100,148,28.6,5.2,0.6,0.1,200,0,-0.14,N/A,2017,
84,쫄면,100,269,56.1,6.6,0.8,N/A,0,N/A,N/A,N/A,2011,
85,쫄면,100,355,71.29,9.16,1.08,4.5,1697,0,0.3,N/A,2017,
86,"칼국수,생면",100,132,29.6,3.5,1,N/A,886,N/A,N/A,N/A,2006,
87,"칼국수,생면",100,310,63.02,7.25,0.87,0,327,0,0.25,N/A,2017,
88,"칼국수,반건면",100,251,57.5,6.4,1.4,N/A,1768,N/A,N/A,N/A,2006,
89,"칼국수,반건면",100,287,57.5,6.4,1.4,N/A,1768,N/A,N/A,N/A,2017,
90,"칼국수,건조",100,330,74.5,9.6,0.5,N/A,0,N/A,N/A,N/A,2006,
